prior_std,recovered_prior_std,likelihood_std,recovered_likelihood_std (with prior),recovered_likelihood_std (without prior),initial_nll (with prior),recovered_nll (with prior),recovered_nll (without prior),AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
4,4.048196822592047,6,5.764272040434354,3.8307962643521414,104.67827102517705,104.66980245212741,110.48044864247011,213.33960490425483,222.96089728494022,216.7173638124827,224.64977673905415
17,13.835030872174402,8,7.693208958277525,7.632176269782021,133.45882941710454,132.98254015332796,138.05242317712404,269.9650803066559,278.1048463542481,273.3428392148838,279.793725808362
6,6.650789916503151,11,8.186724234104247,6.216911368337242,123.10220219149886,122.41092757422848,129.8484768288567,248.82185514845696,261.6969536577134,252.19961405668482,263.3858331118273
4,3.2635050552471334,17,12.22390268882251,4.626014759694408,104.25028777924723,102.69245801561524,118.02535976874648,209.3849160312305,238.05071953749297,212.76267493945835,239.7395989916069
19,18.534730279502035,12,12.204661107320712,11.960461861950401,149.65247597146606,149.62673220649617,156.01730586927044,303.25346441299234,314.0346117385409,306.6312233212202,315.7234911926548
14,15.680492807315739,17,13.986965106366654,12.011467701729243,151.3414563829682,150.57509299598937,156.19196059242992,305.15018599197873,314.38392118485984,308.5279449002066,316.0728006389738
13,10.09172469360611,5,4.464491374278197,4.598912687416952,113.870168948846,113.0289616844548,117.79033943803276,230.0579233689096,237.58067887606552,233.43568227713746,239.26955833017945
3,2.48047977589127,4,4.8095008115773545,3.274904849522234,89.38476304456513,88.37847425702766,104.2090906244688,180.75694851405532,210.4181812489376,184.13470742228318,212.10706070305153
6,253.93651571389367,4,4.672484305411521,4.671723839443896,113.52175393115995,118.40883565046974,118.4186633627005,240.81767130093948,238.837326725401,244.19543020916734,240.52620617951493
3,2.5447545284744257,15,242.60728042138086,4.104875405218427,95.07565279987986,94.11714242802815,113.24455446415448,192.2342848560563,228.48910892830895,195.61204376428415,230.17798838242288
19,21.773068037067716,4,3.6468603119215466,3.633179557283352,108.33548684495594,107.95884899763976,108.3618779200357,219.91769799527953,218.7237558400714,223.2954569035074,220.41263529418532
12,12.674766872085367,11,9.945059771989383,9.218189203743409,139.37975298693158,139.0458007988937,145.60468323981178,282.0916015977874,293.20936647962355,285.4693605060153,294.8982459337375
4,3.497191459271736,6,6.944074147244569,4.701063435196693,102.8585594867155,102.31497695003137,118.6690934986612,208.62995390006273,239.3381869973224,212.0077128082906,241.02706645143633
15,433.0562564683573,5,3.984511898859701,3.9843443049363367,114.54429195683883,112.05010944239382,112.05245222376203,228.10021888478764,226.10490444752406,231.4779777930155,227.793783901638
19,16.796016405816303,17,19.436550942264912,17.08376410710941,159.2492008290916,158.44809433041578,170.11857900533545,320.89618866083157,342.2371580106709,324.27394756905943,343.9260374647848
3,2.818335733251464,10,10.960089721532873,4.335896663346295,97.0381731396927,96.92286247931324,115.43467872490498,197.84572495862648,232.86935744980997,201.22348386685434,234.5582369039239
2,1.6588953495890475,10,4.050392386088558,2.3822258630989395,76.21382197982678,73.90219256999605,91.47895259553624,151.8043851399921,184.95790519107248,155.18214404821995,186.64678464518641
2,2.140970035273303,7,24.777567317755178,2.8809721064483833,87.52344945700318,87.05129065443283,99.08265162423797,178.10258130886567,200.16530324847594,181.48034021709353,201.85418270258987
9,9.387606869835382,16,17.788207938987306,10.78192816277851,141.56586742906705,141.4191912113916,151.8724022174212,286.8383824227832,305.7448044348424,290.21614133101104,307.43368388895635
3,3.3258970692903524,16,16.738316745878517,4.015594774672767,104.49024772512402,104.05268709094233,112.36495858182371,212.10537418188466,226.72991716364743,215.48313309011252,228.41879661776136
6,7.197294118373529,17,13.78424198751511,7.6909055495351435,131.7099142800378,130.88404606799696,138.3590731366771,265.7680921359939,278.7181462733542,269.1458510442218,280.4070257274681
14,14.06044562221828,13,12.012212455483406,11.099602002602095,145.38582111517073,145.23352232590642,153.03370161352683,294.46704465181284,308.06740322705366,297.8448035600407,309.7562826811676
10,10.801188180613401,17,18.10438245225856,11.629703508947882,146.08108257836716,145.8539136286316,154.9000396758206,295.7078272572632,311.8000793516412,299.08558616549107,313.48895880575515
8,6.162851592644245,19,500.0,10.908712593871908,131.9956699498361,129.49725510745606,152.34001119034733,262.9945102149121,306.68002238069465,266.37226912314,308.3689018348086
6,5.3914861129653575,17,11.896979855614871,6.931811378228414,121.22354306186728,120.41463081367985,134.2023840365133,244.8292616273597,270.4047680730266,248.20702053558756,272.09364752714055
6,4.958300684674614,9,6.416428000186508,5.133226627533039,113.52404177875339,111.43571254092936,122.18690682793783,226.87142508185872,246.37381365587567,230.24918399008658,248.0626931099896
9,17.871551718291645,4,3.5297581280953443,3.4749097336478627,107.9946983303461,106.44146993365462,106.58028531896002,216.88293986730923,215.16057063792005,220.2606987755371,216.84945009203398
1,0.9885247169282199,7,20.753215166763596,1.2144957096799684,56.15552831391046,56.23965525019339,64.53070112404083,116.47931050038677,131.06140224808166,119.85706940861465,132.7502817021956
7,6.647392800912829,16,21.338117409707525,9.913370449027546,130.85521114863704,130.6740051254689,148.51293475435307,265.3480102509378,299.02586950870614,268.7257691591657,300.71474896282007
15,12.21799470296923,6,5.7785928127038435,5.547522659073718,123.18057363479039,122.88657230927151,125.29159476959785,249.77314461854303,252.5831895391957,253.1509035267709,254.27206899330963
16,11.7919492866348,14,18.04658646858176,13.850533442558481,150.97743206342426,148.3434327484994,161.88902860788744,300.6868654969988,325.7780572157749,304.06462440522665,327.4669366698888
19,19.747372801658045,8,8.512751763670067,8.366605844858238,139.15867554088754,139.0112615801496,141.72744552984418,282.0225231602992,285.45489105968835,285.4002820685271,287.1437705138023
14,8.01907423700596,1,1.022414838820792,1.036822080315893,57.76752592586314,57.321763269796534,58.20395460847766,118.64352653959307,118.40790921695532,122.02128544782094,120.09678867106925
2,1.9171294613303156,11,188.70746166952748,2.941088145247591,82.86571678258923,82.7886885059704,99.9087277470627,169.5773770119408,201.8174554941254,172.95513592016866,203.50633494823933
19,25.23323457929699,3,2.8191951801408592,2.8106938767458356,98.19665520166086,97.9672001142123,98.09479651764643,199.9344002284246,198.18959303529286,203.31215913665247,199.8784724894068
9,4.533616924006574,2,2.16572891976755,2.3184044485359854,88.10949181560697,83.5568574675414,90.39271280846167,171.1137149350828,182.78542561692333,174.49147384331067,184.47430507103726
7,6.083584408796135,10,11.097895710303304,7.468266108341113,124.19453158896474,123.7264284639531,137.18405613455886,251.4528569279062,276.3681122691177,254.83061583613406,278.05699172323165
19,12.53251172021577,5,3.995312553777531,4.277849768346598,112.47988593632508,110.2265676910061,114.89556252507586,224.4531353820122,231.79112505015172,227.83089429024005,233.48000450426565
13,8.105673292070003,5,3.8462141923324578,4.350287370975092,110.02619347150811,106.57967794673513,115.56721731465714,217.15935589347026,233.13443462931428,220.53711480169812,234.82331408342822
1,1.000258842095661,4,43.95452101203693,1.4662878171610538,56.87960834733819,56.757547704094115,72.06689817097833,117.51509540818823,146.13379634195667,120.8928543164161,147.8226757960706
18,20.000817048592534,16,17.587429200661536,15.111511500332368,160.41215384646878,159.98883691386723,165.3616381584107,323.97767382773446,332.7232763168214,327.3554327359623,334.4121557709353
3,3.004114508366254,16,354.15400441370764,4.274927016571108,100.83389781684309,100.75759135156711,114.86822144090378,205.51518270313423,231.73644288180756,208.8929416113621,233.4253223359215
7,6.1516021575034925,4,3.9568075041093267,4.174326517248231,105.18710702802016,104.85043434089495,113.91566046111879,213.7008686817899,229.83132092223758,217.07862759001776,231.5202003763515
13,15.746742214998923,12,10.01039511194886,9.364825068178336,143.69029691813193,142.11410616833172,146.23597931533493,288.22821233666343,294.47195863066986,291.6059712448913,296.1608380847838
5,5.435208319268361,19,13.88964272711427,6.793383904393549,121.81814853449231,121.62395994439157,133.3954805471839,247.24791988878314,268.7909610943678,250.625678797011,270.4798405484817
2,1.74211786806948,11,2.727420729671872,2.0916500726410514,76.47710521234129,72.11836466454749,86.27567172437847,148.23672932909497,174.55134344875694,151.61448823732283,176.24022290287087
6,5.8556549034929475,6,6.490163316514271,5.2297236491248045,115.64830981944354,115.54284943516198,122.93187190554792,235.08569887032397,247.86374381109584,238.46345777855183,249.55262326520977
8,7.30659681326833,14,500.0,10.897246584752478,139.74435953691716,136.30615150001302,152.29795018647073,276.61230300002603,306.59590037294146,279.9900619082539,308.2847798270554
16,13.648053602668284,9,11.518935073994626,11.253947618863892,147.18401607234728,143.76033424013696,153.58606853305784,291.5206684802739,309.1721370661157,294.8984273885018,310.8610165202296
6,5.203645833600901,16,500.0,9.56295242140217,124.93635798148907,122.73134957125946,147.07338882492854,249.46269914251891,296.1467776498571,252.84045805074678,297.835657103971
7,4.900601624741939,11,6.79159709667961,6.137996031579332,116.93546795090668,111.9489668785186,129.33747621843824,227.8979337570372,260.6749524368765,231.27569266526507,262.3638318909904
3,2.87402567502707,10,7.018937230756995,3.7716046773223106,96.20115479106883,95.88599065003037,109.85756092843496,195.77198130006073,221.71512185686993,199.1497402082886,223.40400131098386
13,12.84901988566551,13,14.409536732029448,11.162428327759452,147.34168444148497,147.18681876220387,153.25971345479013,298.37363752440774,308.51942690958026,301.7513964326356,310.2083063636942
6,500.0,1,1.1832192574167972,1.1832159002954354,67.10445697137823,63.487210077446065,63.48698606069095,130.97442015489213,128.9739721213819,134.35217906312,130.66285157549584
3,3.9610364058253653,9,6.742037772745455,3.9147166861492004,107.79543984570537,105.88729660100137,111.34725096463436,215.77459320200273,224.6945019292687,219.1523521102306,226.38338138338264
2,1.6851287016059946,4,9.074473727046914,2.6362859775781637,77.95805752430053,76.95316282749972,95.53237451972385,157.90632565499945,193.0647490394477,161.2840845632273,194.75362849356162
6,5.232554420983534,2,2.0041490556435964,2.0493900983454982,82.02066268187264,81.82855572544352,85.45923183397339,167.65711145088704,172.91846366794678,171.0348703591149,174.6073431220607
6,6.727422395441817,19,500.0,10.34528703143456,135.67183161647176,133.00348328388188,150.21879036880807,270.00696656776375,302.43758073761614,273.3847254759916,304.1264601917301
13,15.101382326949384,15,15.674868562904864,12.359204936170858,152.73377240441755,152.21766772577507,157.33359323067293,308.43533545155015,316.66718646134586,311.813094359778,318.3560659154598
19,16.118248563020682,19,15.380698128694366,13.917995958792575,154.41038390878566,153.1339572525443,162.0836261939508,310.2679145050886,326.1672523879016,313.64567341331644,327.85613184201554
19,19.315447176677598,13,15.089047340213963,13.665052124136693,156.43984281828807,155.7883571399258,161.34699855389852,315.5767142798516,324.69399710779703,318.9544731880795,326.38287656191096
12,313.00382407068247,1,0.948688189197285,0.9486840293762787,55.54360586785923,54.651322887070826,54.650332555731055,113.30264577414165,111.30066511146211,116.68040468236953,112.98954456557604
11,437.6362479104088,1,0.9354171071683699,0.93541536490336,54.45826146880543,54.086973478678004,54.08691599935749,112.17394695735601,110.17383199871497,115.55170586558388,111.8627114528289
19,14.055406774768732,4,4.134101637433835,4.298256056484188,112.6573609035318,111.86890850642706,115.085910664873,227.73781701285412,232.171821329746,231.11557592108198,233.86070078385993
13,12.804081604437476,16,11.577831983911645,9.902020900554488,144.2552584806855,142.77055015055709,148.46709238099334,289.54110030111417,298.93418476198667,292.91885920934203,300.6230642161006
4,4.790845038441325,7,8.475350836279917,5.196152751140081,115.40098065439378,113.88037254649468,122.67427864827366,231.76074509298937,247.3485572965473,235.13850400121723,249.03743675066124
4,4.209699751197737,11,7.023306832505192,4.590751819034497,108.63484603105618,108.11426686195671,117.7192914059454,220.22853372391342,237.4385828118908,223.60629263214128,239.12746226600473
4,3.9970012456906168,12,500.0,6.004165571318332,112.83717490427046,112.1782134250916,128.4556786028062,228.3564268501832,258.9113572056124,231.73418575841106,260.6002366597263
9,8.776750696097649,11,12.556366684803782,9.211407404456597,135.8877935980808,135.68528901904907,145.57524116179258,275.37057803809813,293.15048232358515,278.748336946326,294.8393617776991
4,4.349262699221237,11,7.916786423891112,4.906628091306186,110.59353314271694,110.28268056954053,120.3810204818707,224.56536113908106,242.7620409637414,227.94312004730892,244.45092041785534
18,16.38972644632928,18,19.059724746879183,16.787925112185686,157.83894185954662,157.55230843920612,169.43974458861862,319.10461687841223,340.87948917723725,322.4823757866401,342.5683686313512
14,54.39367936078763,7,5.953775221650174,5.920304649971272,130.864749733503,127.88038905046456,127.89305359779931,259.7607781009291,257.7861071955986,263.138537009157,259.47498664971255
3,2.8372967861071228,18,500.0,4.552472004356274,98.77721822264718,98.4712711801794,117.38435534861412,200.9425423603588,236.76871069722824,204.32030126858666,238.45759015134217
12,10.66084903032065,2,2.2948219783438564,2.2912878785134008,89.96885747523085,89.07790359271792,89.92210286025755,182.15580718543583,181.8442057205151,185.5335660936637,183.53308517462904
14,7.687891335882233,2,1.8210900993261123,1.9039431884305882,81.06253766954046,79.64322574514159,82.51462709431976,163.28645149028318,167.02925418863953,166.66421039851105,168.71813364275346
12,9.688803192659607,14,15.250061481409748,11.924755908530388,141.91103602459546,140.81496109788813,155.90223145565557,285.62992219577626,313.80446291131113,289.0076811040041,315.49334236542506
8,7.049270726659891,3,3.00162865473253,3.0413811761078877,97.56184894592535,97.39120749118226,101.25001235867362,198.78241498236451,204.50002471734723,202.16017389059238,206.18890417146116
18,17.356504366156635,14,11.888354077137466,11.056683434952328,148.7514455527218,148.08612186900837,152.87890283760902,300.17224373801673,307.75780567521804,303.5500026462446,309.44668512933197
11,11.614343358384769,17,16.543293941925906,11.520637741483416,146.89412999105778,146.83299529254967,154.5231276898973,297.66599058509934,311.0462553797946,301.0437494933272,312.73513483390855
10,10.618180473688017,5,5.061533544970222,4.937104657968872,117.57018679926674,117.52907950630248,120.62870166586524,239.05815901260496,243.25740333173047,242.43591792083282,244.9462827858444
17,13.495507753591705,12,11.154296837199096,11.305049762970093,143.81573255263112,142.8174071657148,153.7667864414137,289.6348143314296,309.5335728828274,293.01257323965746,311.22245233694133
5,4.951023376712019,4,4.935831343573122,4.724936456943902,108.34017752162625,106.81681727738253,118.87168386345022,217.63363455476505,239.74336772690043,221.0113934629929,241.43224718101436
1,1.0277404749297547,5,5.813742871628697,1.3416407279280214,57.27851212697155,57.23660627930772,68.51327462622939,118.47321255861544,139.02654925245878,121.85097146684332,140.7154287065727
7,6.721836317243581,11,500.0,8.891005881112466,135.71338655636538,132.96869049833077,144.15915260129685,269.93738099666155,290.3183052025937,273.3151399048894,292.00718465670764
3,3.147104149994504,3,2.913641277975705,2.4545876299136773,87.20020037482351,87.15285444432466,92.67589091572134,178.30570888864932,187.35178183144268,181.68346779687718,189.0406612855566
4,4.681819529491064,11,10.617340398470077,5.375871958875057,115.74278738051629,114.95140012488206,124.03437323055465,233.9028002497641,250.0687464611093,237.28055915799197,251.75762591522323
19,22.59946147010302,13,12.648576357275385,11.953503951465994,153.25684692658993,152.80921321481387,155.99673900356294,309.61842642962773,313.9934780071259,312.9961853378556,315.6823574612398
1,0.911124190564425,3,2.544628733181712,1.2649112809573515,51.00588780729769,50.62150867506297,66.15761391310433,105.24301735012594,134.31522782620866,108.62077625835381,136.0041072803226
19,24.067509292938354,7,8.27333559585274,8.096296735977297,140.45967772198617,139.04521510270143,140.413805506186,282.09043020540287,282.827611012372,285.46818911363073,284.51649046648595
6,6.744417734033945,13,8.899238986924663,6.661454118049856,124.96216055280775,124.02918788251586,132.61106628410278,252.0583757650317,267.22213256820555,255.43613467325957,268.9110120223195
3,2.9240649701152632,19,13.911002752544407,3.7616485813430542,98.86433631767991,98.8118271528876,109.75183380997184,201.6236543057752,221.50366761994368,205.00141321400307,223.19254707405761
16,16.69240727934555,18,18.788752649393256,16.424890840952095,157.79385686860303,157.71917655477816,168.63925123126884,319.4383531095563,339.2785024625377,322.8161120177842,340.9673819166516
16,13.423408807009443,3,2.7826879020214164,2.797320311648712,97.11791658649719,96.85270476023206,97.90401605671138,197.70540952046412,197.80803211342277,201.08316842869198,199.4969115675367
5,2.951383105051305,1,0.9316064125443946,0.9874210634098425,53.669281130088756,52.024201174361394,56.2511855190712,108.04840234872279,114.5023710381424,111.42616125695066,116.19125049225633
5,6.2791698526641975,1,1.0531592212154957,1.0488086595015331,58.48466574202019,58.274439244477406,58.66374495400511,120.54887848895481,119.32748990801022,123.92663739718269,121.01636936212415
12,21.81889166435201,3,3.063051536584538,3.0413813115058117,101.69950775884404,101.14458650257802,101.25001235867359,206.28917300515604,204.50002471734717,209.6669319133839,206.1889041714611
15,16.11688415418715,15,15.249475113216509,13.398760982366666,153.06438353884985,152.95227115696088,160.56380539515112,309.90454231392175,323.12761079030224,313.2823012221496,324.8164902444162
16,12.026997000918804,14,14.70618235321283,12.854969949092755,147.64704070480707,146.0012821745305,158.90672909415753,296.002564349061,319.81345818831505,299.38032325728886,321.502337642429
16,16.493919197103484,12,11.140626667313864,10.540401720506027,145.84901144769125,145.66465965114656,150.96615493331052,295.32931930229313,303.93230986662104,298.707078210521,305.62118932073497
17,14.216734855637469,18,15.900559339052615,13.748069840785284,152.06434694708685,151.18502936446276,161.5923588429893,306.3700587289255,325.1847176859786,309.7478176371534,326.87359714009256
5,4.7724099015344486,3,2.4973825998307744,2.469817737564384,89.54436502374293,88.52657083431681,92.92331675177226,181.05314166863363,187.84663350354452,184.4309005768615,189.53551295765845
9,7.571222997085344,11,12.409483150703991,9.06642310790099,132.14416039637678,131.40273239245718,144.94064736943068,266.80546478491436,291.88129473886136,270.1832236931422,293.5701741929753
18,15.415851595067748,13,11.5829351791253,11.783574403829384,146.42570506760245,145.78686786398487,155.425379549171,295.57373572796973,312.850759098342,298.9514946361976,314.5396385524559
17,14.56983488270824,17,15.907121157625111,13.810604840250184,152.2681141761231,151.7319869854906,161.77410202165805,307.4639739709812,325.5482040433161,310.8417328792091,327.23708349743004
3,4.471781721668577,18,6.067662845701188,4.018706401435992,111.58339940382835,107.99253450541342,112.39594232156028,219.98506901082683,226.79188464312057,223.3628279190547,228.4807640972345
17,15.45307842879479,8,7.32677396738578,7.451509579265518,132.66472302735906,132.36342320176595,137.0942087113129,268.7268464035319,276.1884174226258,272.10460531175977,277.8772968767397
